"Story","Title","Result","Date","Stability","Duration (s)"
"Register of user","successful user registration","PENDING","2023-07-24T17:15:38.3577399-05:00[America/Bogota]","0.0","0.21"
"Register of user","successful user registration","ERROR","2023-09-28T10:27:34.8534072-05:00[America/Bogota]","0.0","3.55"
